Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Daytime,Wind_Chill(F)_Missing,End_Lng_Missing,End_Lat_Missing,Temperature(F)_Missing,Humidity(%)_Missing,Pressure(in)_Missing,Visibility(mi)_Missing,Wind_Direction_Missing,Wind_Speed(mph)_Missing,Precipitation(in)_Missing
3,1454910360,1454929200,39.865147,-84.058723,-9999.0,-9999.0,0.01,1454911080,36.9,-9999.0,91.0,29.68,10.0,-9999.0,-9999.0,0.02,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
2,1454911679,1454913479,39.92805900000001,-82.831184,-9999.0,-9999.0,0.01,1454910660,37.9,-9999.0,100.0,29.65,10.0,-9999.0,-9999.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
2,1454914167,1454915967,39.063148,-84.032608,-9999.0,-9999.0,0.01,1454914560,36.0,33.3,100.0,29.67,10.0,225.0,3.5,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
3,1454916214,1454918014,39.747753,-84.20558199999998,-9999.0,-9999.0,0.01,1454917080,35.1,31.0,96.0,29.64,9.0,225.0,4.6,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1454917147,1454918947,39.627781,-84.188354,-9999.0,-9999.0,0.01,1454917980,36.0,33.3,89.0,29.65,6.0,225.0,3.5,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
3,1454917466,1454919266,40.10059,-82.92519399999998,-9999.0,-9999.0,0.01,1454917860,37.9,35.5,97.0,29.63,7.0,202.5,3.5,0.03,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1454918375,1454920175,39.758274,-84.23050699999997,-9999.0,-9999.0,0.0,1454918160,34.0,31.0,100.0,29.66,7.0,247.5,3.5,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1454918398,1454920198,39.770382,-84.194901,-9999.0,-9999.0,0.01,1454918160,34.0,31.0,100.0,29.66,7.0,247.5,3.5,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1454918440,1454920240,39.778061,-84.172005,-9999.0,-9999.0,0.0,1454918280,33.3,-9999.0,99.0,29.67,5.0,225.0,1.2,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
3,1454919004,1454920804,40.10059,-82.92519399999998,-9999.0,-9999.0,0.01,1454920080,37.4,33.8,100.0,29.62,3.0,202.5,4.6,0.02,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
